Model:,Kit Enclosure v26
Cutting Area:, x 

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)



Unrecognized Parts (only relevant if Fusion model changes and can usually be ignored)
Position,Name,Description,Quantity,Length (mm),Dimensions (mm),Path
242,Body14,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
243,Body15,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
244,Body16,,1,,10 x 6.5 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
245,Body17,,1,,1.31 x 0.8 x 0.8,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->2P Toggle Switch 16A 250V (2)(Mirror):1
246,Body1,,1,,53 x 30 x 30,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->C20 Socket:1
247,Body1,,1,,119 x 119 x 7,3d Printed Parts:1->AC Plate - 1 SW 1 Gland 1 Socket 5 Keystone:1->AC Plate:1
248,Body1,,1,,119 x 118.94 x 18,3d Printed Parts:1->VFD Display and Switches Plate:1
249,Body1,,1,,84.1 x 22.4 x 22.25,3d Printed Parts:1->Wago 4x 221-415 Mount:1
250,Body1,,1,,127.4 x 115.9 x 7,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1
251,rs25_psu_bracket,,1,,67 x 26.6 x 10,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1->GH2k or Relay Din Clamp 2x:1
252,rs25_psu_bracket,,1,,67 x 26.6 x 10,3d Printed Parts:1->Flexihal or Mesa7i96s Mounting Plate (1):1->GH2k or Relay Din Clamp 2x:2
253,Body1,,1,,103.5 x 38.5 x 15,3d Printed Parts:1->150W Power Supply Clip:1
254,Body2,,1,,103.5 x 38.5 x 15,3d Printed Parts:1->150W Power Supply Clip:1
255,Body1,,1,,121.5 x 38.5 x 15,3d Printed Parts:1->350W Power Supply Clip:1
256,Body2,,1,,121.5 x 38.5 x 15,3d Printed Parts:1->350W Power Supply Clip:1
257,Body1,,1,,130.5 x 43.5 x 15,3d Printed Parts:1->450W Power Supply Clip:1
258,Body2,,1,,130.5 x 43.5 x 15,3d Printed Parts:1->450W Power Supply Clip:1
