Model:,20260415 PrintNC V4 Metalcutter V4.0.36 Beta4
Cutting Area:,1000 mm x 1000 mm

Position,Name,Description,Quantity,Length (mm),Dimensions (mm)
37,Body2,,1,,56.4 x 56.4 x 12.1,Hardware:1->XAxis Hardware:1->X NEMA23 Stepper:1
38,Body3,,1,,78 x 56.4 x 56.4,Hardware:1->XAxis Hardware:1->X NEMA23 Stepper:1
39,Body4,,1,,56.4 x 56.4 x 11.5,Hardware:1->XAxis Hardware:1->X NEMA23 Stepper:1
40,Body5,,1,,11.5 x 7.5 x 6.63,Hardware:1->XAxis Hardware:1->X NEMA23 Stepper:1
41,Body2,,1,,10.39 x 9 x 9,Hardware:1->XAxis Hardware:1->X HGW20CC:1->M6 Flush Grease Fitting:1
42,Body1,,1,,10.39 x 9 x 9,Hardware:1->XAxis Hardware:1->X HGW20CC(Mirror):1->M6 Flush Grease Fitting(Mirror):1
43,Body1,,1,,15.01 x 13 x 4,Hardware:1->XAxis Hardware:1->X M8 Inductive Sensor:1
44,Body2,,1,,15.01 x 13 x 4,Hardware:1->XAxis Hardware:1->X M8 Inductive Sensor:1
45,Body3,,1,,55 x 7.43 x 3,Hardware:1->XAxis Hardware:1->X M8 Inductive Sensor:1
46,Body1,,1,,10.39 x 9 x 9,Hardware:1->Y2Axis Hardware:1->Y2 HGW20CC:1->M6 Flush Grease Fitting (2)(Mirror):1
47,Body10,,1,,10.39 x 9 x 9,Hardware:1->Y2Axis Hardware:1->Y2 HGW20CC:1->M6 Flush Grease Fitting (2)(Mirror):1
48,Body1,,1,,25.9 x 6.67 x 0,Hardware:1->Y2Axis Hardware:1->Y2 NEMA23 Stepper:1
49,Body2,,1,,56.4 x 56.4 x 12.1,Hardware:1->Y2Axis Hardware:1->Y2 NEMA23 Stepper:1
50,Body3,,1,,78 x 56.4 x 56.4,Hardware:1->Y2Axis Hardware:1->Y2 NEMA23 Stepper:1
51,Body4,,1,,56.4 x 56.4 x 11.5,Hardware:1->Y2Axis Hardware:1->Y2 NEMA23 Stepper:1
52,Body5,,1,,11.5 x 7.5 x 6.63,Hardware:1->Y2Axis Hardware:1->Y2 NEMA23 Stepper:1
53,Body1,,1,,89 x 60 x 60,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 HM12-57:1
54,Body3 (1),,1,,21.64 x 21.51 x 8,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 HM12-57:1
55,Body4 (1),,1,,34 x 34 x 6,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 HM12-57:1
56,Body3 (1) (1),,1,,31.5 x 28 x 14.8,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 HM12-57:1
57,Body1,,1,,60 x 43 x 20,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 BF12:1
58,Body1,,1,,44 x 40 x 39.85,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 SFU1610 Nut:1
59,Body1,,1,,26.5 x 25.98 x 25,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 D30L40 8-10mm Coupler:1
60,Body2,,1,,25.38 x 25.38 x 12,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 D30L40 8-10mm Coupler:1
61,Body3,,1,,26.5 x 25.98 x 25,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 D30L40 8-10mm Coupler:1
62,Body4,,1,,19.5 x 7 x 6.99,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 D30L40 8-10mm Coupler:1
63,Body5,,1,,19.5 x 7 x 6.99,Hardware:1->Y2Axis Hardware:1->Y2 1610 Ballscrew Set:1->Y2 D30L40 8-10mm Coupler:1
64,Body1,,1,,15.01 x 13 x 4,Hardware:1->Y2Axis Hardware:1->Y2 M8 Inductive Sensor:1
65,Body2,,1,,15.01 x 13 x 4,Hardware:1->Y2Axis Hardware:1->Y2 M8 Inductive Sensor:1
66,Body3,,1,,55 x 7.43 x 3,Hardware:1->Y2Axis Hardware:1->Y2 M8 Inductive Sensor:1
67,Body1,,1,,21.65 x 20.28 x 18.71,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z D25L30 8-8mm Coupler:1
68,Body2,,1,,21.65 x 20.28 x 18.71,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z D25L30 8-8mm Coupler:1
69,Body3,,1,,21.24 x 21.24 x 11.1,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z D25L30 8-8mm Coupler:1
70,Body4,,1,,17 x 5.5 x 2.89,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z D25L30 8-8mm Coupler:1
71,Body5,,1,,17 x 5.5 x 2.89,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z D25L30 8-8mm Coupler:1
72,Body1,,1,,89 x 60 x 58.5,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z HM10-57:1
73,Body2,,1,,32.6 x 25.75 x 22.1,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z HM10-57:1
74,Body3,,1,,17 x 17 x 8,Hardware:1->ZAxis Hardware:1->Z 1204 Ballscrew Set:1->Z HM10-57:1
75,Body1,,1,,25.9 x 6.67 x 0,Hardware:1->ZAxis Hardware:1->Z NEMA23 Stepper :1
76,Body2,,1,,56.4 x 56.4 x 12.1,Hardware:1->ZAxis Hardware:1->Z NEMA23 Stepper :1
77,Body3,,1,,78 x 56.4 x 56.4,Hardware:1->ZAxis Hardware:1->Z NEMA23 Stepper :1
78,Body4,,1,,56.4 x 56.4 x 11.5,Hardware:1->ZAxis Hardware:1->Z NEMA23 Stepper :1
79,Body5,,1,,11.5 x 7.5 x 6.63,Hardware:1->ZAxis Hardware:1->Z NEMA23 Stepper :1
80,Body1,,1,,15.01 x 13 x 4,Hardware:1->ZAxis Hardware:1->Z M8 Inductive Sensor:1
81,Body2,,1,,15.01 x 13 x 4,Hardware:1->ZAxis Hardware:1->Z M8 Inductive Sensor:1
82,Body3,,1,,55 x 7.43 x 3,Hardware:1->ZAxis Hardware:1->Z M8 Inductive Sensor:1
83,Body1,,1,,300 x 125 x 12,Zaxis Dual Carriage HGH15CA:1->2Z 300mm Z Plate:1
84,Body1,,1,,2.8 x 1.5 x 0,Zaxis Dual Carriage HGH15CA:1->2Z Fasteners:1->M6 Washer:1
85,Body2,,1,,2.8 x 1.5 x 0,Zaxis Dual Carriage HGH15CA:1->2Z Fasteners:1->M6 Washer:1
86,Body3,,1,,2.8 x 1.5 x 0,Zaxis Dual Carriage HGH15CA:1->2Z Fasteners:1->M6 Washer:1
87,Body4,,1,,2.8 x 1.5 x 0,Zaxis Dual Carriage HGH15CA:1->2Z Fasteners:1->M6 Washer:1
88,Body1,,1,,100 x 25 x 12,Zaxis Dual Carriage HGH15CA:1->2Z ZPlate Tram Bar:1
89,Body3,,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
90,Body2,,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
91,Body2 (1),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
92,Body2 (2),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
93,Body2 (3),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
94,Body3 (1),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
95,Body3 (2),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
96,Body3 (3),,1,,32.4 x 19.53 x 2.7,Zaxis Dual Carriage HGH15CA:1->2Z HGH15CA:1
97,Body1,,1,,29.1 x 12 x 11,Zaxis Dual Carriage HGH15CA:1->2Z Spindle Clamp Tram Blocks:1
98,Body2,,1,,29.1 x 12 x 11,Zaxis Dual Carriage HGH15CA:1->2Z Spindle Clamp Tram Blocks:1
99,Body1,,1,,145 x 125 x 12,Zaxis Dual Carriage HGH15CA:1->2Z Tram Plate:1
100,Body1,,1,,35.87 x 35 x 30,Zaxis Dual Carriage HGH15CA:1->2Z SFU1204 Ballscrew Nut:1
101,Body1,,1,,50 x 36 x 30,Zaxis Dual Carriage HGH15CA:1->2Z Ballscrew Nut Block:1
102,Body1,,1,,259.73 x 79.9 x 54.8,Zaxis Dual Carriage HGH15CA:1->80mm 2.2kw Spindle:1
103,Body1,,1,,300 x 125 x 12,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Plywood Z Plate:1
104,Body1,,1,,145 x 91 x 12,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Plywood Tram Plate:1
105,Body1,,1,,120 x 15 x 9,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Printed Rail Riser 4x:1
106,Body2,,1,,120 x 15 x 9,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Printed Rail Riser 4x:1
107,Body3,,1,,120 x 15 x 9,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Printed Rail Riser 4x:1
108,Body4,,1,,120 x 15 x 9,Zaxis Dual Carriage HGH15CA:1->2Z Temp Plywood Plates:1->2Z Printed Rail Riser 4x:1
